r_NonTarg,ug_NonTarg,ur_NonTarg,ui_NonTarg,uz_NonTarg,gr_NonTarg,gi_NonTarg,gz_NonTarg,ri_NonTarg,rz_NonTarg,iz_NonTarg
19.200323,-0.06202735,0.24517201,0.16647482,-0.031132612,0.30719936,0.22850217,0.030894738,-0.0786972,-0.27630463,-0.19760743
18.85536,0.44515568,0.82433295,0.85780054,0.89803,0.37917727,0.41264483,0.4528743,0.033467572,0.07369704,0.040229466
19.535677,0.00207034,0.1083024,0.0121267,-0.13897918,0.10623206,0.01005636,-0.14104952,-0.0961757,-0.24728158,-0.15110588
18.94104,0.22089237,0.4181042,0.36687016,0.543167,0.19721185,0.1459778,0.32227463,-0.051234044,0.12506278,0.17629683
18.773434,0.28189695,0.26507908,0.111711554,0.22355832,-0.016817866,-0.17018539,-0.05833862,-0.15336752,-0.041520756,0.11184677
18.377762,0.7957454,0.9701363,1.0392396,1.2764127,0.1743909,0.2434943,0.4806674,0.069103405,0.3062765,0.23717311
17.133741,0.44898,0.81399393,1.0319738,1.2952684,0.36501393,0.58299387,0.84628844,0.21797994,0.4812745,0.26329455
17.461561,0.20749147,0.11611065,0.25352803,0.15420821,-0.09138081,0.04603656,-0.053283263,0.13741738,0.038097553,-0.09931982
19.77127,1.701902,1.9209033,1.9436547,2.0913553,0.21900126,0.2417526,0.38945323,0.022751326,0.17045198,0.14770065
20.07603,0.39982623,0.8572824,0.81884456,1.0438013,0.45745617,0.41901833,0.64397514,-0.03843784,0.18651894,0.22495678
18.765821,0.5502167,0.6541092,0.571503,1.1019374,0.10389247,0.02128631,0.5517207,-0.08260616,0.4478282,0.53043437
19.678965,0.30987784,0.5844411,0.6186563,0.87762207,0.27456325,0.3087784,0.56774426,0.03421515,0.29318097,0.25896582
18.795338,0.7236196,1.1582344,1.2364511,1.3795165,0.43461475,0.51283157,0.65589684,0.0782168,0.22128208,0.14306527
18.838434,0.15479457,0.34783924,0.66980517,0.59741163,0.19304468,0.5150106,0.44261706,0.32196593,0.24957238,-0.07239356
18.874233,0.42423862,0.7312094,1.1872166,1.2565534,0.30697075,0.76297796,0.8323147,0.4560072,0.52534395,0.06933676
18.731287,0.5456287,0.7559881,0.8566774,0.93299055,0.21035942,0.3110487,0.38736182,0.100689255,0.1770024,0.076313145
18.800568,0.05026326,0.18795085,0.1390644,0.74570537,0.1376876,0.08880114,0.69544214,-0.048886456,0.5577545,0.606641
17.263035,2.4367802,3.7964249,4.437969,4.841106,1.3596448,2.001189,2.4043257,0.64154434,1.044681,0.40313664
19.175245,0.25719166,0.62359405,0.7195976,0.8039896,0.36640236,0.46240592,0.54679793,0.09600356,0.18039554,0.08439198
18.980984,0.2881253,0.56956524,0.57943493,0.64586437,0.28143993,0.29130962,0.35773906,0.009869694,0.07629912,0.06642943
19.226387,0.13297361,0.1790612,0.6132432,0.6496238,0.046087597,0.4802696,0.5166502,0.43418202,0.4705626,0.036380604
18.715527,-0.03697493,0.08681999,0.19301628,0.3397627,0.12379492,0.2299912,0.3767376,0.10619628,0.25294268,0.14674641
19.53779,0.20779724,0.29721418,0.21972334,0.45991206,0.08941695,0.0119261,0.25211483,-0.07749085,0.16269787,0.24018872
19.782116,0.97188145,1.1092604,1.1540164,1.6640017,0.13737898,0.18213497,0.6921203,0.044756006,0.5547413,0.5099853
18.503145,0.17633118,0.3957755,0.5729132,0.5008774,0.2194443,0.39658204,0.3245462,0.17713775,0.105101876,-0.07203587
18.513723,0.22568819,0.36332318,0.52598524,0.49446872,0.13763498,0.30029702,0.26878053,0.16266204,0.13114555,-0.031516492
19.276161,0.204414,0.46510968,0.2635321,0.28160644,0.26069567,0.05911811,0.07719243,-0.20157757,-0.18350326,0.01807432
18.528454,0.05187527,0.34458306,0.30774352,0.27383915,0.29270777,0.25586823,0.22196388,-0.036839545,-0.0707439,-0.033904362
18.673794,0.07702722,0.35778865,0.7469801,0.9638412,0.28076142,0.66995287,0.88681394,0.38919142,0.6060525,0.21686111
19.423834,0.8483917,1.0409019,1.0625712,1.2602687,0.19251025,0.21417947,0.411877,0.021669226,0.21936676,0.19769754
19.189415,0.15943602,0.17245531,0.38042355,0.2916496,0.013019297,0.22098751,0.13221358,0.20796822,0.119194284,-0.088773936
18.51392,0.3207452,0.306081,0.1757375,0.36785686,-0.014664206,-0.14500771,0.047111638,-0.13034351,0.061775845,0.19211936
18.968803,0.20660187,0.46257257,0.4871752,0.4967029,0.2559707,0.28057334,0.29010102,0.02460263,0.03413033,0.0095277
19.66389,0.30599982,0.59310144,0.6306705,0.696935,0.28710163,0.32467067,0.39093518,0.03756905,0.10383355,0.066264495
18.690447,0.9881019,1.2819939,1.3932804,1.4837614,0.29389194,0.40517846,0.49565956,0.11128654,0.20176765,0.0904811
19.553692,0.03299773,0.27793798,0.23332351,0.40122426,0.24494024,0.20032579,0.36822653,-0.04461446,0.12328628,0.16790074
19.229824,0.32900718,0.66017556,0.9988476,1.1001182,0.3311684,0.66984046,0.77111095,0.33867204,0.43994257,0.101270534
19.23014,0.10970089,0.14559561,0.15797494,0.35131976,0.03589472,0.04827405,0.24161887,0.01237933,0.20572415,0.19334482
18.996004,0.31650367,0.05357183,0.3052049,0.409103,-0.26293185,-0.01129879,0.09259933,0.25163305,0.3555312,0.10389812
17.88754,0.15459114,-0.036892004,0.01482731,-0.01185547,-0.19148315,-0.13976385,-0.16644663,0.051719315,0.025036534,-0.02668278
17.814358,0.14198308,0.07969729,0.24838488,0.6533823,-0.06228579,0.10640181,0.5113992,0.1686876,0.57368505,0.40499744
18.19885,0.4303155,0.69084686,0.935902,0.85536087,0.26053137,0.5055865,0.42504537,0.24505514,0.16451402,-0.08054112
17.207506,2.3823092,3.395783,3.8011758,4.0175653,1.0134739,1.4188668,1.6352559,0.4053928,0.621782,0.21638922
20.151855,0.2025243,0.6175846,0.51710904,0.5044732,0.4150603,0.31458473,0.3019489,-0.10047556,-0.1131114,-0.01263584
17.663616,0.08098444,0.33225682,0.52743304,0.5034669,0.25127238,0.4464486,0.4224825,0.19517621,0.17121011,-0.023966111
19.181423,0.09311358,0.059166595,0.22257325,0.27351803,-0.033946984,0.12945968,0.18040444,0.16340666,0.21435142,0.05094476
19.66126,0.3950409,0.9876774,1.4570234,1.784748,0.59263647,1.0619825,1.3897071,0.46934608,0.7970706,0.32772455
18.759077,0.27812204,0.43005067,0.48779058,0.6484253,0.15192863,0.20966853,0.37030324,0.0577399,0.21837461,0.16063471
20.026705,0.7722405,0.8914249,1.0731785,1.5782076,0.11918437,0.300938,0.8059671,0.18175365,0.6867827,0.5050291
20.100029,1.1695378,1.3356941,1.3363879,1.55168,0.16615632,0.16685009,0.38214216,6.93771E-4,0.21598583,0.21529207
17.919168,2.0620382,3.5638664,5.077364,5.961032,1.5018281,3.0153255,3.8989935,1.5134975,2.3971653,0.8836679
18.817463,0.14381953,0.23104885,0.1803611,0.12039889,0.087229334,0.036541585,-0.02342063,-0.050687753,-0.110649966,-0.059962217
19.262194,0.095681995,0.1430513,0.40685356,0.558943,0.047369294,0.31117156,0.46326095,0.26380226,0.41589168,0.1520894
18.78653,0.25486717,0.7487933,0.8004266,0.7584563,0.49392614,0.5455594,0.5035891,0.051633276,0.00966296,-0.041970316
18.231333,0.27430183,0.5760439,0.8009561,1.033597,0.3017421,0.52665424,0.7592951,0.22491212,0.45755303,0.2326409
19.189264,0.20922048,0.51966137,0.48855,0.5276043,0.31044087,0.27932954,0.31838378,-0.03111133,0.007942912,0.03905424
19.500448,0.26148635,0.33125824,0.49618,0.31514835,0.06977189,0.23469365,0.05366199,0.16492175,-0.0161099,-0.18103164
18.615788,0.17630622,0.3888794,0.2686327,0.08496142,0.21257317,0.09232648,-0.0913448,-0.12024669,-0.30391797,-0.18367128
20.092014,0.24966832,0.5837763,0.9366445,1.2252642,0.33410797,0.68697613,0.97559583,0.3528682,0.6414879,0.2886197
19.735256,0.3234941,0.5818862,0.6949057,0.8399452,0.25839207,0.37141162,0.51645106,0.113019556,0.25805902,0.14503948
18.244152,0.1676236,0.4785275,0.4132027,0.8186434,0.3109039,0.24557911,0.6510198,-0.06532479,0.34011593,0.40544072
19.237783,0.19086188,0.5725172,0.6382511,0.54763645,0.3816553,0.44738927,0.35677457,0.06573396,-0.024880754,-0.090614714
19.625637,0.46677032,0.5389352,0.4762557,0.6458274,0.07216488,0.00948538,0.17905712,-0.0626795,0.10689224,0.16957174
19.81832,1.0640993,1.1680607,1.326174,1.9034504,0.10396138,0.26207474,0.839351,0.15811336,0.73538965,0.5772763
19.490644,0.8353887,1.1235781,1.1444633,1.4144387,0.28818938,0.30907455,0.57905,0.02088518,0.29086065,0.26997545
18.348526,0.4838706,0.4972129,0.57567215,0.8219601,0.01334227,0.09180151,0.3380895,0.07845924,0.32474723,0.24628799
19.39264,0.53873897,0.58525646,0.94694334,0.9285903,0.04651753,0.40820444,0.3898514,0.3616869,0.34333384,-0.018353047
19.060238,0.22004871,0.18923128,0.3378617,0.37022936,-0.03081743,0.11781297,0.15018065,0.1486304,0.18099809,0.03236768
19.112553,0.38639522,0.8800274,1.0432193,1.1409719,0.4936322,0.6568241,0.7545767,0.16319191,0.26094446,0.097752556
18.72559,0.26967695,0.8382091,1.0720987,1.3110704,0.56853217,0.8024218,1.0413935,0.23388968,0.47286138,0.2389717
19.422527,0.5942373,0.6835505,0.576369,0.8795599,0.08931316,-0.017868334,0.28532255,-0.10718149,0.19600938,0.30319086
19.842636,0.30955002,0.33215594,0.456725,0.68689054,0.02260593,0.14717498,0.37734053,0.12456906,0.3547346,0.23016553
20.05379,0.3058474,0.61515266,0.62317216,0.8591098,0.30930525,0.31732476,0.5532624,0.00801949,0.24395718,0.23593768
19.873425,0.30458656,0.35175365,0.6388111,0.62570304,0.04716707,0.33422455,0.32111645,0.28705746,0.27394938,-0.01310809
18.254343,0.2129106,0.3088703,0.37476805,0.51518387,0.09595969,0.16185744,0.30227327,0.06589775,0.2063136,0.14041585
19.648693,0.2309233,0.32541013,0.5194834,0.5160002,0.09448685,0.28856012,0.28507692,0.19407327,0.19059007,-0.0034832
19.941265,0.3285569,0.6796205,0.6531627,0.46356305,0.3510636,0.3246058,0.13500616,-0.026457809,-0.21605745,-0.18959965
18.740719,0.3009556,0.47980344,0.42190704,0.5397685,0.17884785,0.12095145,0.23881294,-0.057896398,0.059965096,0.117861494
19.627594,0.3803744,0.8207034,0.7040929,0.5627945,0.44032902,0.32371852,0.18242012,-0.11661048,-0.25790888,-0.1412984
18.94608,0.6745923,1.0580082,1.1305932,1.2734591,0.38341585,0.45600086,0.5988667,0.072585,0.21545087,0.14286587
19.148252,0.23584287,0.68543947,0.76557404,0.78942823,0.44959658,0.52973115,0.55358535,0.08013457,0.10398876,0.023854189
19.985626,0.17449015,0.38196135,0.6275624,0.76293266,0.2074712,0.45307228,0.5884425,0.24560107,0.38097128,0.13537021
18.749529,0.6753956,1.2487855,1.6286162,1.666496,0.5733899,0.95322055,0.99110043,0.37983066,0.41771054,0.037879866
19.046337,0.20783982,0.31374183,0.16624185,0.41383433,0.10590202,-0.04159796,0.20599452,-0.14749998,0.1000925,0.24759248
20.082508,0.26401457,0.13891922,0.19298546,0.15550704,-0.12509537,-0.07102912,-0.10850754,0.05406624,0.01658782,-0.03747842
19.467585,-0.15761209,0.23738416,0.06879818,-0.04412337,0.39499623,0.22641025,0.11348871,-0.16858597,-0.28150752,-0.11292155
19.703003,0.32993832,0.46412507,0.51656693,0.547884,0.13418674,0.18662858,0.21794567,0.05244183,0.08375891,0.031317085
19.591032,0.6256352,0.5477745,0.635037,0.9426151,-0.07786075,0.00940181,0.3169799,0.08726256,0.39484063,0.3075781
18.252247,0.2774822,0.7251216,0.7118707,0.7382529,0.4476394,0.43438846,0.46077064,-0.01325093,0.013131238,0.026382169
18.476513,0.5030733,0.60285497,0.38267955,0.62988997,0.09978167,-0.12039372,0.12681668,-0.22017539,0.027035,0.24721038
19.94077,0.07822872,-1.8716E-4,-0.06150874,0.1792265,-0.07841588,-0.13973746,0.10099778,-0.06132158,0.17941366,0.24073523
18.982101,0.23309319,0.70037407,0.7049256,0.7263545,0.46728086,0.47183245,0.49326128,0.00455157,0.0259804,0.02142883
17.905275,0.1720751,0.28689378,0.5839873,0.5503495,0.11481868,0.41191217,0.3782744,0.29709348,0.26345572,-0.03363777
19.317972,0.58408606,0.60965264,0.72217715,1.0102198,0.02556656,0.13809107,0.42613378,0.11252451,0.40056723,0.28804272
19.734972,0.14599,0.43040726,0.5475503,0.44800273,0.28441727,0.4015603,0.30201274,0.11714305,0.01759547,-0.09954758
19.26603,0.06452303,0.36146954,0.395348,0.46938568,0.29694653,0.33082497,0.40486264,0.03387845,0.10791612,0.07403767
18.597662,0.22777534,0.43373245,0.21998692,0.18123743,0.20595713,-0.00778842,-0.0465379,-0.21374555,-0.25249502,-0.03874948
19.834314,-0.4089831,0.18567054,-0.01821975,1.48225E-4,0.59465367,0.39076337,0.40913135,-0.2038903,-0.18552232,0.018367974
19.327383,0.63192666,1.1912405,1.5345846,1.7265567,0.5593139,0.90265805,1.09463,0.34334415,0.5353161,0.19197196
19.850754,0.23546913,0.6228528,0.76087713,0.7730587,0.38738367,0.525408,0.5375896,0.13802433,0.15020593,0.0121816
19.149965,0.92184746,1.1255224,1.3738338,1.6284599,0.20367496,0.45198628,0.7066124,0.24831133,0.50293744,0.25462613
17.591478,2.6511936,2.9931514,2.996173,3.0497208,0.34195802,0.3449793,0.39852723,0.00302128,0.05656922,0.05354794
17.075459,-0.18764298,-0.1495453,0.11226126,0.21110755,0.03809767,0.29990423,0.3987505,0.26180655,0.36065286,0.09884629
16.231958,0.14432295,0.08626796,0.19243613,0.02650048,-0.05805498,0.04811319,-0.11782246,0.10616817,-0.05976748,-0.16593565
16.576921,0.09694648,0.05449651,0.1880228,0.11560446,-0.04244997,0.09107633,0.01865798,0.1335263,0.06110795,-0.07241835
19.598984,0.22693512,0.5923553,0.57693875,0.60434854,0.3654202,0.3500036,0.37741345,-0.01541659,0.01199324,0.02740983
18.74053,0.6969534,0.91232497,1.0612991,1.3210261,0.21537156,0.36434567,0.6240726,0.1489741,0.40870106,0.25972697
